"","logFC","logCPM","LR","PValue","FDR","FC"
"AC127070.1",2.5521609766122,3.78480666049941,20.2684801985422,6.73002285559697e-06,2.26209893860239e-05,5.86512142533975
"AC130709.1",-0.113302952296692,2.43223248937487,0.292094155442484,0.588881661083639,0.659731875619207,-1.08170188678874
"AC137932.4",-4.1315329504547,3.72217442006324,123.732556848728,9.63991112156259e-29,4.51706841252391e-27,-17.5273131560792
"AC138969.4",2.46375976506872,7.59251307143515,111.58778552797,4.39889499949268e-26,1.56913736490912e-24,5.51652500919879
"AC141586.5",-0.314097157286165,2.38261683325708,1.20797339389811,0.27173385776462,0.346738707643897,-1.24323339076598
"AC144530.1",-0.674464529895552,1.11693563536869,6.20806098229492,0.0127169851385375,0.0233169264441025,-1.59600429046422
"AC145212.1",-0.371955312116981,0.841143558448527,0.484309267916785,0.486476851912178,0.564331676597456,-1.29410556857953
"ACAA1",-0.205318520387963,5.19209375945419,2.42283401653238,0.11957842254303,0.170681602040061,-1.15294086672537
"ACAA2",1.55749886312033,4.79150277472468,58.3096339115413,2.23944753990339e-14,2.17330699368811e-13,2.94343111175321
"ACACB",-0.255259906060927,6.0586382586605,1.5621945048555,0.211344191652442,0.278869391601381,-1.19355074559494
"ACAD10",0.454775729481223,5.76924347165702,4.87224467128657,0.0272919784393764,0.0459498622858343,1.37056972995813
"ACAD11",0.7629925076511,5.42358179072664,12.8767034156683,0.000332697764646706,0.000849529026121461,1.69700699032163
"ACAD8",0.0651875169989617,4.73722941588511,0.24297026853008,0.62206901315187,0.689794092998622,1.04622091548497
"ACAD9",0.247597317655232,6.48975285281448,3.31135412148341,0.0688027761718663,0.104919927692087,1.18722824289311
"ACADL",-1.57871661463447,1.15314195889609,17.5394079199849,2.81414056407704e-05,8.58773762116611e-05,-2.98704011897423
"ACADM",-0.313871213631983,6.5528602471487,7.24309089814992,0.0071174349656164,0.0138398937980887,-1.24303870048684
"ACADS",0.85713322943573,3.09368669894649,12.805708543251,0.00034556331773913,0.000879343159760979,1.81143524002285
"ACADSB",-0.0696350616420327,4.32484879433702,0.134970672563583,0.713332940474837,0.768974075091238,-1.04945118507718
"ACADVL",1.80761311300782,7.79090296864809,82.9639338515007,8.35642291792909e-20,1.45758839398856e-18,3.5006264312049
"ACAN",1.46805245142148,4.30210706928723,32.6980495745568,1.07645184021275e-08,5.38327889020827e-08,2.76648183594237
"ACAP1",-0.201277152114074,5.07920954826804,0.834612946799624,0.360942029963891,0.440929377799331,-1.14971569549128
"ACAP2",0.431219803716513,7.34780172159147,10.9308355192816,0.000945768340368907,0.00221616792051527,1.34837314926794
"ACAP3",0.464102496625367,6.30796881158437,7.04491512001017,0.00794905915887072,0.0153010693920995,1.3794589223455
"ACAT1",-0.0882648356904725,5.30183190019346,0.447238235186042,0.503649398603697,0.580679855505959,-1.06309080814653
"ACAT2",0.0362413330615515,1.81524839897733,0.00820311160464371,0.927833451439446,0.944770954003883,1.02543875825195
"ACBD3",0.295727968756514,6.61779524770048,6.22074491887546,0.0126261978623821,0.0231719260422258,1.22750420673534
"ACBD4",1.11095132856541,3.91691479300613,33.2425158592348,8.13522528040362e-09,4.11122201630608e-08,2.15988025170635
"ACBD5",0.17472784940341,4.94455121065978,1.71924185271484,0.189790664411524,0.254414265167137,1.12875145657405
"ACBD6",0.0242490141413556,5.48370848854904,0.040881248640062,0.839767315691259,0.873693407732915,1.01695018725516
"ACBD7",-0.939508962989807,2.93310554424031,23.920175933039,1.00413859354665e-06,3.82572697728935e-06,-1.91787535772965
"ACCS",0.774829938154374,5.3377197244527,17.4076394355598,3.01611305467365e-05,9.17451235681909e-05,1.71098835178278
"ACD",1.51276734918988,3.53875913023385,57.7555751289257,2.96797650682175e-14,2.83003081968952e-13,2.85356880424881
"ACE",0.549510315258059,4.51584210517249,8.11839699371525,0.00438182870518837,0.00895129666358486,1.4635888350385
"ACER2",-0.136443973157741,2.42979404107245,0.116267953523348,0.733117983393738,0.785740569299335,-1.09919242962983
"ACER3",0.381576083561192,3.40828410560434,5.43670761800009,0.019717802724377,0.0344729616457317,1.3027642934376
"ACHE",0.455294918341008,1.81844341364946,1.66781459553762,0.196551507220838,0.26207970797808,1.37106305153409
"ACIN1",1.28819586012911,8.49201101887955,65.9514083240224,4.62178065988642e-16,5.30407996640378e-15,2.44222455898609
"ACKR1",-2.02261522402918,2.9544028670162,14.7070469320638,0.000125576155353739,0.000344991352730705,-4.06319674695685
"ACKR2",0.341402708252415,4.19196425893694,0.872170038810864,0.350355249934848,0.429949360643742,1.26698786640668
"ACKR3",0.254841422029654,4.63382393540854,0.980070470945932,0.322181408641378,0.400526620883998,1.19320458131366
"ACKR4",0.302787248637807,3.59029923258482,2.72000478160583,0.0990977185573191,0.144762005765617,1.23352525088605
"ACLY",1.53978021901879,6.09099641523572,64.0267647793832,1.22740359840726e-15,1.3520965336132e-14,2.90750207038546
"ACMSD",0.304982819489843,1.89521919342637,0.729548766188543,0.393029490034753,0.47314756320483,1.23540392508075
"ACO1",0.160340168373086,6.28981980607705,0.993333250850142,0.318929061239605,0.397044369746334,1.11755061063434
"ACO2",1.85231758720674,6.65166058135387,117.724126066768,1.99261920890794e-27,8.09207770017537e-26,3.61079768414948
"ACOT1",2.26228359267258,2.53904982459575,57.6532431345868,3.12647050756938e-14,2.97221127844441e-13,4.79750261458209
"ACOT11",-0.251299085415792,6.82024942194315,1.96369744075686,0.161118435257471,0.220705222072983,-1.19027842760484
"ACOT13",0.113231672855557,4.54071327023219,0.379543775450749,0.537847501166165,0.613719648664966,1.08164844430846
"ACOT2",0.973167111964691,4.71086268475706,31.3067043339859,2.20317503188201e-08,1.05355936458174e-07,1.9631455119389
"ACOT4",-0.112009301141649,1.79713577358002,0.175783769667888,0.675021924123786,0.736599021941684,-1.08073236956344
"ACOT7",0.969738746112381,5.21301384350108,25.9087552915774,3.57941985326064e-07,1.45026481545004e-06,1.95848590594789
"ACOT8",0.960160726274642,4.90308742033173,27.4561454207404,1.60697416936744e-07,6.82339326928728e-07,1.94552662796677
"ACOT9",0.601328484687767,4.96676177761839,18.3339737754474,1.85371756406358e-05,5.83565469680758e-05,1.5171129348191
"ACOX1",1.07582322967935,6.34791912526596,49.7107790455766,1.78164394271285e-12,1.40316642290831e-11,2.10792455129572
"ACOX2",-0.0870527933512727,3.53817884650911,0.0838354942209349,0.772165422746181,0.81857804320308,-1.06219805539521
"ACOX3",0.320258556328951,4.63884503970621,3.76831221596662,0.0522323125041785,0.0821504831619839,1.24855429174337
"ACOXL",-0.276295787937644,2.33843276054441,0.77487842361019,0.378712091126589,0.458846549821215,-1.21108135993948
"ACP1",0.0419929393337242,5.72839212699239,0.0780892244921745,0.779903730216078,0.824765887927379,1.02953504479385
"ACP2",0.381591712284421,4.90905973211977,4.13769285539131,0.0419382917643912,0.0676945235389756,1.30277840636673
"ACP5",1.05517386579137,4.67137657132818,15.844554325408,6.87641388448199e-05,0.000197084044702182,2.07796861702751
"ACP6",-0.303215733021072,6.0874372496274,3.27507119351677,0.0703398746115694,0.107057748808191,-1.23389166567851
"ACPP",-0.228563149589438,4.19866749712429,0.625139142521121,0.429143934691583,0.509160359401101,-1.1716674471414
"ACPT",1.33245876956501,1.60429234523328,11.6936414780187,0.000627140418893345,0.0015201484472655,2.51831503085773
"ACRBP",0.688639363837412,2.7293410496422,6.52884870807468,0.0106138634030992,0.019830407995551,1.61176271394982
"ACRC",1.32596945895016,3.8625906857446,28.5395162117294,9.18055637559368e-08,4.04342747154207e-07,2.50701296825253
"ACSBG1",-2.48549444036617,2.32978863417137,67.7865082926194,1.82191903620075e-16,2.19600865261396e-15,-5.60026245516836
"ACSBG2",0.365874410764265,1.5900013483786,2.16873309935185,0.140842222300367,0.19660649295449,1.2886624451849
"ACSF2",1.82763847035109,5.38416855940007,54.8884562277545,1.27568084185162e-13,1.13890829612435e-12,3.54955574288409
"ACSF3",0.700839225619873,5.62757379389861,19.048818109035,1.27416663283589e-05,4.1000103882273e-05,1.62545005322004
"ACSL1",-0.114675312493737,5.88631926500187,0.626119179992749,0.428782407755462,0.50880765520574,-1.08273134266996
"ACSL3",0.469913927494263,6.08061320430872,13.6929339293181,0.000215262900761544,0.000568601371291083,1.38502683367818
"ACSL4",1.08665042197933,6.06759695842494,35.9524173696313,2.02195365011982e-09,1.10388493314711e-08,2.12380369384708
